LABID,Genetic_ID,SEX,species,Latitude,Longitude,Chiv_2002_strata,Chiv2002_Strata Symbol,Strata_final,Strata_fine scale,Crossman_strata,AK_STRATA_1,AK_STRATA_2,AK_STRATA_3,Wcoast1,Wcoast2,Wcoast3,Wcoast4,Wcoast4_num,AK1_USwest,AK2_USwest,AK3_USwest,AK3_Wcoast3,AK3_Wcoast4,Num_AK3_WC4,AK3_WC4_num,Geog_sort,Crossman1,Crossman2,sample_Notes,PM_strata_notes,Haplotypes
26606,26606,,Ppho,56.25,166.466666,,,,,,BERING_SEA,WESTERN_BERING_SEA,WESTERN_BERING_SEA,,,,,,BERING_SEA,WESTERN_BERING_SEA,WESTERN_BERING_SEA,WESTERN_BERING_SEA,WESTERN_BERING_SEA,13_WESTERN_BERING_SEA,13_WESTERN_BERING_SEA,3,,,,,CR01
725,725,,Ppho,51.883333,-176.616666,,,,,,BERING_SEA,CENTRAL_ALEUTIANS,CENTRAL_ALEUTIANS,,,,,,BERING_SEA,CENTRAL_ALEUTIANS,CENTRAL_ALEUTIANS,CENTRAL_ALEUTIANS,CENTRAL_ALEUTIANS,14_CENTRAL_ALEUTIANS,14_CENTRAL_ALEUTIANS,4,,,,,CR01
78877,78877,,Ppho,56.88167,-164.612,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,5,,,"possible male, one vial; permit #2110",,CR05
14193,14193,,Ppho,58.016666,-164.683333,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,5,,,,,CR05
15226,15226,,Ppho,58.083333,-165.15,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,5,,,,,CR01
73682,73682,,Ppho,56.866667,-165.2833333,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,5,,,,,CR01
16598,16598,,Ppho,57.566666,-165.666666,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,5,,,,,CR01
173631,NMML15-002,,Ppho,57.317666,-166.058,,,,,,,,NORTHEAST_BERING_SEA,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,5,,,,,CR05
18840,18840,,Ppho,57.216666,-166.133333,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,5,,,,,CR26
25512,25512,,Ppho,57.35,-166.516666,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,5,,,,,CR01
78874,78874,,Ppho,56.48333,-166.7,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,5,,,"possible male, 1.64 cur. Length, approx 30kgs; permit #3245",,CR05
78878,78878,,Ppho,56.4333,-166.733,,,,,,,,NORTHEAST_BERING_SEA,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,5,,,"sample mix-up with 78879 (Oorc), per Kelly Robertson. Correct seq updated 12/20/16; not corrected on SNP plates, so SNPs from Oorc (all homozyg.)",(NMML08-006 (Dahlheim)),CR05
62278,62278,,Ppho,58.15,-166.85,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,5,,,,,CR05
159603,159603,,Ppho,58.186333,-167.303,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,5,,,,,CR49
62277,62277,,Ppho,57.116666,-167.816666,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,5,,,,,CR01
1348,1348,,Ppho,57.216666,-170.25,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,,,,,,BERING_SEA,EASTERN_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,15_NORTHEAST_BERING_SEA,5,,,,,CR46
62282,62282,,Ppho,55.816666,-163.966666,,,,,,BERING_SEA,EASTERN_BERING_SEA,SOUTHEAST_BERING_SEA,,,,,,BERING_SEA,EASTERN_BERING_SEA,SOUTHEAST_BERING_SEA,SOUTHEAST_BERING_SEA,SOUTHEAST_BERING_SEA,16_SOUTHEAST_BERING_SEA,16_SOUTHEAST_BERING_SEA,6,,,,,CR27
117069,117069,,Ppho,55.205,-164.375,,,,,,BERING_SEA,EASTERN_BERING_SEA,SOUTHEAST_BERING_SEA,,,,,,BERING_SEA,EASTERN_BERING_SEA,SOUTHEAST_BERING_SEA,SOUTHEAST_BERING_SEA,SOUTHEAST_BERING_SEA,16_SOUTHEAST_BERING_SEA,16_SOUTHEAST_BERING_SEA,6,,,,,CR01
117067,117067,,Ppho,55.1083,-164.7,,,,,,BERING_SEA,EASTERN_BERING_SEA,SOUTHEAST_BERING_SEA,,,,,,BERING_SEA,EASTERN_BERING_SEA,SOUTHEAST_BERING_SEA,SOUTHEAST_BERING_SEA,SOUTHEAST_BERING_SEA,16_SOUTHEAST_BERING_SEA,16_SOUTHEAST_BERING_SEA,6,,,,,CR05
12595,12595,,Ppho,55.016666,-164.9,,,,,,BERING_SEA,EASTERN_BERING_SEA,SOUTHEAST_BERING_SEA,,,,,,BERING_SEA,EASTERN_BERING_SEA,SOUTHEAST_BERING_SEA,SOUTHEAST_BERING_SEA,SOUTHEAST_BERING_SEA,16_SOUTHEAST_BERING_SEA,16_SOUTHEAST_BERING_SEA,6,,,,,CR45
108547,108547,,Ppho,57.44,-152.5,,,,,,GULF_OF_AK,WESTERN_GOA,KODIAK,,,,,,GULF_OF_AK,WESTERN_GOA,KODIAK,KODIAK,KODIAK,17_KODIAK,17_KODIAK,7,,,No other location info per K. Wynne. Estimated location based on description.,,
108549,108549,,Ppho,57.87,-153.56,,,,,,GULF_OF_AK,WESTERN_GOA,KODIAK,,,,,,GULF_OF_AK,WESTERN_GOA,KODIAK,KODIAK,KODIAK,17_KODIAK,17_KODIAK,7,,,no info on CoC form. Rec'd 6/6/05 Adult 160 cm. Uganilk Bay,,
108550,108550,,Ppho,57.87,-153.56,,,,,,GULF_OF_AK,WESTERN_GOA,KODIAK,,,,,,GULF_OF_AK,WESTERN_GOA,KODIAK,KODIAK,KODIAK,17_KODIAK,17_KODIAK,7,,,Adult 139cm. Uganik Bay,,CR44
108546,108546,,Ppho,57.011,-154.145,,,,,,GULF_OF_AK,WESTERN_GOA,KODIAK,,,,,,GULF_OF_AK,WESTERN_GOA,KODIAK,KODIAK,KODIAK,17_KODIAK,17_KODIAK,7,,,Adult 131cm Moser Bay,,
5411,5411,,Ppho,57.033333,-154.15,,,,,,GULF_OF_AK,WESTERN_GOA,KODIAK,,,,,,GULF_OF_AK,WESTERN_GOA,KODIAK,KODIAK,KODIAK,17_KODIAK,17_KODIAK,7,,,CR seq confirmed from HiSeq Mitogenome,,CR01
108548,108548,,Ppho,57.011,-154.145,,,,,,GULF_OF_AK,WESTERN_GOA,KODIAK,,,,,,GULF_OF_AK,WESTERN_GOA,KODIAK,KODIAK,KODIAK,17_KODIAK,17_KODIAK,7,,,"no lat/lon (per Kim Parsons), but part of sample set from Kodiak, from Kate Wynne; inserted lat lon from sample 108546","confirmed Kodiak sample, Kim Parsons 12/19/16",
136926,136926,,Ppho,61.4416,-149.4393,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,COOK_INLET,COOK_INLET,18_COOK_INLET,18_COOK_INLET,8,,,,,CR21
156821,156821,,Ppho,61.308777,-149.819527,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,COOK_INLET,COOK_INLET,18_COOK_INLET,18_COOK_INLET,8,,,"Latitude updated 1/23/17 per Jane Belovarac, stranding network.",,CR01
17380,17380,,Ppho,61.216666,-149.9,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,COOK_INLET,COOK_INLET,18_COOK_INLET,18_COOK_INLET,8,,,,,CR50
144206,144206_1,,Ppho,61.134568,-149.983632,,,,,,,,COOK_INLET,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,COOK_INLET,COOK_INLET,18_COOK_INLET,18_COOK_INLET,8,,,,,CR47
57787,57787,,Ppho,60.583333,-151.016666,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,COOK_INLET,COOK_INLET,18_COOK_INLET,18_COOK_INLET,8,,,,,CR01
144311,144311,,Ppho,59.371456,-151.275505,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,COOK_INLET,COOK_INLET,18_COOK_INLET,18_COOK_INLET,8,,,,,CR01
156868,156868,,Ppho,60.54375,-151.277,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,COOK_INLET,COOK_INLET,18_COOK_INLET,18_COOK_INLET,8,,,,,CR26
100685,100685,,Ppho,60.7401,-151.314,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,COOK_INLET,COOK_INLET,18_COOK_INLET,18_COOK_INLET,8,,,"Fetus, 1/8 mile S. of beach access village of Ninikchik",,CR11
8889,8889,,Ppho,60.566666,-151.316666,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,COOK_INLET,COOK_INLET,18_COOK_INLET,18_COOK_INLET,8,,,,,CR02
48569,48569,,Ppho,60.683333,-151.366666,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,COOK_INLET,COOK_INLET,18_COOK_INLET,18_COOK_INLET,8,,,,,CR01
